,tweet_id,retweet_count,favorite_count,cleaned_tweet,length_before,length_after,ratio_of_length,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamations,number_of_exclamation_marks,label
147,1241949968174387200,891,1257,"""চীন এবং কে প্রধান: তাদের উভয়কেই মহামারী হিসাবে জবাবদিহি করুন"": কীভাবে @ কে প্রধান @ ড্রট্রোসস অভিযোগ করেছেন যে কীভাবে চীনের প্রেসিডেন্ট জিজিনপিংকে কয়েক সপ্তাহ ধরে জানুয়ারিতে কোভিড ১৯ এর গোপনীয়তা গোপনে রেখে বিশ্বব্যাপী বিপর্যয় সৃষ্টি করেছিল। পড়ুন! URL টি",268,246,0.917910447761194,25,0,0,1,1,1
149,1241649820273709056,1017,2569,এখনও পর্যন্ত আমি আমার কাছে 2 পিপিএল জানি যা করোনার জন্য ইতিবাচক পরীক্ষা করেছে। দুজনই হাসপাতালে নিউমোনিয়া থেকে সুস্থ হয়ে উঠছেন। এটি কোনও খেলা বা ষড়যন্ত্র নয়। পিপিএল এর শুভকামনা ইত্যাদির দরকার নেই ... তাদের ঘরে থাকা আপনার দরকার,211,211,1.0,6,0,0,0,0,1
161,1241075579601985536,745,2665,"আমি পুনরাবৃত্তি করি ... চীন 2019 এর ডিসেম্বরে নতুন করোনার ভাইরাসের মধ্যে কে সতর্ক করেছিল ... আমাদের রাষ্ট্রপতি প্রায় 10 দিন আগে পর্যন্ত এটিকে ""প্রতারণা"" বলেছেন !!!",141,140,0.9929078014184397,19,0,0,1,3,1
162,1242001719996739584,615,1094,করোন ভাইরাস সম্পর্কে ভুল তথ্য / # ফ্যাকিনিউজকে নিয়ন্ত্রণে ভারত সরকার সমস্ত সোশ্যাল মিডিয়া প্ল্যাটফর্মগুলিতে পরামর্শ প্রদান করে। যেহেতু ইন্ডিয়াফাইটসকোর্না কর্নোয়ারিয়ের্স লিগে যোগ দেয় কোনও ফরোয়ার্ডকে নকল বলে সন্দেহ করে: আমাদের হোয়াটসঅ্যাপ: +91 87997 11259 | - pibfactcheck@gmail.com ইউআরএল,303,273,0.900990099009901,17,0,0,0,0,1
164,1241388679722979328,626,4026,কংগ্রেস জেনারেল সিকি এমএস @ প্রিয়াঙ্কগন্ধি মানুষকে আতঙ্কিত না হতে বলে; জাল খবর ছড়িয়ে দেবেন না; সতর্কতা অবলম্বন করুন এবং হাত ধোয়া ... করোনার URL,156,134,0.8589743589743589,10,0,0,0,0,1
165,1242492018275889152,697,2423,"আমি ইকো হোটেলে 14 ই মার্চ এ্যামভিএতে অংশ নিয়েছি। এমনকি পার্টি পরে। গুজব শুরু হওয়ার একদিন পর আমি নিজেকে আলাদা করে নেওয়ার সিদ্ধান্ত নিয়েছিলাম, ভোরের কাজটি প্রতিদিন আমার ঘরে বাইরে যায়। আমি 14 দিনের বিচ্ছিন্ন সময়কাল মানি। দিন 9 এখন। ভালবাসা এবং হালকা ছেলেরা। covid19out",269,261,0.9702602230483272,20,0,0,0,0,1
167,1242419733854588930,601,918,"নাইজেরিয়ান শাসক শ্রেণীর জন্য আমি কখনও আমার ঘৃণা ও ঘৃণা গোপন করি নি। আমি এখনই ভুয়া সহানুভূতি দিয়ে শুরু করব না, তাদের চেয়ে বেশি কী আসবে তার প্রাপ্য কেউ নেই। আমি আশা করি করোনার ভাইরাস পুরোপুরি কাজ করবে।",233,231,0.9914163090128756,4,0,0,0,0,0
168,1240830754646523905,641,1415,"ফ্লু মরসুমটি নীচে নেমে আসছে এবং গরম আবহাওয়া ফিরছে। বিশেষজ্ঞরা পূর্বাভাস দিয়েছেন যে 70% আমেরিকান কোভিড 19 এ সংক্রামিত হবে। দেখা যাচ্ছে .005% ছিল। এটা খুব মিস করে। ভয়, এটা নতুন fakenews।",210,203,0.9666666666666667,19,0,0,0,0,1
170,1241908426327941120,514,998,"যদি আমাদের ""নেতারা"" না চান লোকেরা বিশ্বাস করতে শুরু করে যে এটি সমস্ত ধোঁকা, তারা সর্বোত্তমভাবে এটি দিয়ে রাজনীতি করা বন্ধ করে দেয়। বাস্তব বিশ্বের ধৈর্য এবং বিশ্বাস পাতলা পরা হয়। @ স্পিকারপেলোসি @ স্যানটেডেমেট চাইনিজ ভাইরাস কোভিড 19 করোনভাইরাস",239,232,0.9707112970711297,13,0,0,0,0,0
171,1242476319608201216,770,363,"এই ব্যক্তি মিথ্যা এবং জাল খবর ছড়িয়ে দিচ্ছে। প্রিয় দায়বদ্ধ মালয়েশিয়ানরা, দয়া করে ইউআরএল প্রতিবেদন করুন আপনাকে ধন্যবাদ।",128,106,0.828125,9,0,0,0,0,1
172,1241631591647997952,800,2062,চীনা কমিউনিস্ট শাসনকর্তার সিনিয়র প্রচারক আরও ষড়যন্ত্র তত্ত্ব ছড়িয়ে দিয়েছেন। একই ডিকহেড যিনি বলেছিলেন ভাইরাস আমাদের মধ্যে উদ্ভূত হয়েছিল। টুইটার চীনায় টুইটার নিষিদ্ধ থাকলেও তাদের প্ল্যাটফর্মে চীনা সরকারী কর্মকর্তাদের অনুমতি দেয়।,233,231,0.9914163090128756,9,0,0,0,0,1
174,1241619416594255872,303,1003,"বিহার প্রথম কোভিড -১৯ এর মৃত্যুর খবর দিয়েছে: কাতারের ভ্রমণের ইতিহাস সহ 38 বছর বয়সী এক ব্যক্তি আইটেমস, পাটনায় মারা গেছেন, হাসপাতালের কর্মকর্তা বলেছেন",125,125,1.0,13,0,0,0,0,1
