,tweet_id,retweet_count,favorite_count,cleaned_tweet,length_before,length_after,ratio_of_length,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamations,number_of_exclamation_marks,label
0,1241025578527903750,187425,954568,for the average american the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results,134,134,1.0,2,0,0,0,0,0
1,1240467080954228737,333831,1505405,this is fucking bullshit,24,24,1.0,0,0,0,0,0,0
2,1240716889162018816,160323,660762,can y’all please just follow the government’s instructions so we can knock this covid-19 out and be done?! i feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.,218,218,1.0,7,1,1,1,1,0
3,1241062514886090754,154086,368883,no offense but the corona virus disappearing before april actually sucks,72,72,1.0,2,0,0,0,0,0
4,1241447017945223169,126506,445713,"this is the face of someone who just spent 9 hours in personal protective equipment moving critically ill covid19 patients around london. i feel broken - and we are only at the start. i am begging people, please please do social distancing and self isolation covid19 URL",292,270,0.9246575342465754,7,0,0,0,0,1
5,1241637320325029889,128634,715158,"yesterday i knocked on my tennant's door and told him he can stay in the property rent free for 5 months. he is self employed with 4 kids. i don't need boris to tell me what is morally correct. landlords, if you can, do more, do something. covid19 benice",256,254,0.9921875,14,0,0,0,0,1
6,1241519420628963330,120821,487573,"after covid-19 is over, i better never hear anyone trash “low end” workers again. those people at the grocery store, the dollar general workers, those fast food workers, the walmart employees, those people you didn't even think deserved to have a wage to survive on?",266,266,1.0,16,1,1,0,0,0
7,1242137430322446344,119536,331428,this is dr. usama riaz. he spent past weeks screening and treating patients with corona virus in pakistan. he knew there was no ppe. he persisted anyways. today he lost his own battle with coronavirus but he gave life and hope to so many more. know his name URL,289,261,0.903114186851211,29,0,0,0,0,1
8,1240717039377022977,141115,516085,fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost,212,212,1.0,0,0,0,0,0,1
9,1240334979701395458,181436,763800,when this corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020,137,137,1.0,2,0,0,0,0,0
10,1241161304771039233,109785,554867,শ্বাসকষ্ট এতটা করণীয় লক্ষণ ঠিক তবে আপনি জানেন কী আমাকে শ্বাসকষ্টও দেয়? দুশ্চিন্তা। এবং আপনি কি আমাকে উদ্বেগ দিচ্ছেন জানেন? ভাবছি আমার করোনা আছে,180,180,1.0,5,1,2,0,0,0
11,1240676575168921600,100742,322476,"so, the last week i have been battling covid-19 &amp; pneumonia. never in my life have i been this ill. “young people aren’t at risk, they’ll only have mild symptoms” wrong. i want to open up about the difficulties i’ve gone through these past days, what it was like in the icu...",282,280,0.9929078014184397,17,0,0,0,0,1
12,1242125087886761987,107073,401952,আমার মা হোয়াটসঅ্যাপ বিশ্ববিদ্যালয় থেকে করোনার ভাইরাস নিয়ে পিএইচডি করেছেন,57,57,1.0,8,0,0,0,0,1
13,1240768501452697600,116644,415942,তিনি ধনী বন্ধুদের বলেছিলেন। তারপরে স্টকটিতে একটি দুর্দান্ত $ 1.4m আউট করা হয়েছে। তারপরে কোভিড -১৯ ত্রাণ বিলের বিরুদ্ধে ভোট দিয়েছিল। তাকে যেতে হবে,123,123,1.0,11,0,0,0,0,1
14,1241447267502116864,91414,383681,"ভবিষ্যতের নাতি: ""আরে দাদু কর্নো চান?"" আমি: ইউআরএল",74,53,0.7162162162162162,3,1,1,0,0,0
15,1241337295606657033,89425,196789,কোরিয়া 10 মিনিটের কোভিড -19 ডায়াগোনস্টিক কিটটি বিকাশ শেষ করেছে এবং এখন উত্পাদন বাড়িয়ে তুলছে। তারা প্রতি সপ্তাহে 300.000 টেস্ট-কিট রফতানি করার পরিকল্পনা করে - URL,170,150,0.8823529411764706,8,0,0,0,0,1
16,1241429041011478529,88884,284776,"দ্বিগুণ আত্মহত্যা, কোভিড -১ he হেই, তাই, ওম, এখন ঘরে ঘরে একটি বড় হাতি আছে। কোভিড এখনই একমাত্র মহামারী হচ্ছে না - এবং এটি একটি খারাপ, খারাপ সময়ে এসেছিল। কখনও ভাল সময় হয় না। একটি মানসিক স্বাস্থ্য মহামারী ঘটছে, এবং আমরা দেখতে শুরু করব-",276,274,0.9927536231884058,13,0,0,0,0,1
