,text,labels
0,গড় আমেরিকানদের কাছে আপনার কোভিড -১৯ আছে কিনা তা বলার সেরা উপায়টি হলেন ধনী ব্যক্তির মুখে কাশি এবং তার পরীক্ষার ফলাফলের জন্য অপেক্ষা করা,0
1,এই বকশি বাজানো হয়,0
2,আপনি কি দয়া করে কেবলমাত্র সরকারের নির্দেশাবলী অনুসরণ করতে পারেন যাতে আমরা এই covid-19 নক আউট করে শেষ করতে পারি ?! আমি একজন কিন্ডারগার্টারের মতো অনুভব করি যা আরও অবসর সময় হারাতে থাকে কারণ এক বা দুটি বাচ্চারা দিকনির্দেশগুলি অনুসরণ করতে পারে না।,0
3,কোনও অপরাধ নয় তবে এপ্রিলের আগে সফল হওয়ার আগে করোনার ভাইরাস অদৃশ্য হয়ে গেছে,0
4,"লন্ডনের আশেপাশের গুরুতর অসুস্থ কোভিড ১৯ রোগীদের চলাচলের জন্য ব্যক্তিগত সুরক্ষামূলক সরঞ্জামে এটি কেবল 9 ঘন্টা ব্যয় করেছিল এমন একজনের মুখ। আমি ভাঙ্গা অনুভব করি - এবং আমরা কেবল শুরুতেই আছি। আমি লোককে ভিক্ষা করছি, দয়া করে সামাজিক দূরত্ব এবং স্ব বিচ্ছিন্নতা করুন  কোভিড ১৯ URL",1
5,"গতকাল আমি আমার টেন্যান্টের দরজায় কড়া নাড়িয়া তাকে বলেছিলাম যে তিনি 5 মাসের জন্য সম্পত্তি ভাড়ায় বিনামূল্যে থাকতে পারবেন। তিনি ৪ বাচ্চা নিয়ে স্বনিযুক্ত। নৈতিকভাবে কী সঠিক তা বলার জন্য আমার কাছে বরিসের দরকার নেই। বাড়িওয়ালারা, যদি আপনি আরও কিছু করতে পারেন তবে কিছু করুন।  covid19 benice",1
6,"কভিড -১৯ শেষ হওয়ার পরে, কাউকে ট্র্যাশ ""নিম্ন প্রান্ত"" কর্মী শোনার জন্য আমি আর কখনও ভাল না। মুদি দোকানে those লোকেরা, ডলার জেনারেল শ্রমিকরা, সেই ফাস্টফুড কর্মীরা, ওয়ালমার্ট কর্মচারী, সেই লোকেরা যাদের আপনি বেঁচে থাকার মজুরি পাওয়ার যোগ্যও ভাবেননি?",0
7,এটি হলেন ডঃ উসামা রিয়াজ। তিনি গত কয়েক সপ্তাহ পাকিস্তানে করোনার ভাইরাস দ্বারা আক্রান্ত রোগীদের স্ক্রিনিং এবং চিকিত্সা ব্যয় করেছিলেন। তিনি জানতেন কোনও পিপিই নেই। সে যাইহোক জেদ ধরেছিল। আজ তিনি করোনাভাইরাসের সাথে নিজের লড়াইটি হেরে গেলেও তিনি আরও অনেককে জীবন ও আশা দিয়েছেন। তার নাম জানুন URL,1
9,এই করোনার বিষ্ঠাটি যখন পাস হয় তখন আমাদের একে অপরকে প্রতিশ্রুতি দিতে হয় যে আমরা আমাদের বাচ্চাদের জানাতে যাচ্ছি যে আমরা ২০২০ সালে একটি জম্বি অ্যাপোকালাইপসে বেঁচে গিয়েছি ived,0
10,শ্বাসকষ্ট তাই করোনার লক্ষণ ঠিক তবে আপনি জানেন কী আমাকে শ্বাসকষ্টও দেয়? উদ্বেগ। এবং আপনি কি আমাকে উদ্বেগ দিচ্ছেন জানেন? ভাবছি আমার করোনা আছে।,0
12,আমার মা হোয়াটসঅ্যাপ বিশ্ববিদ্যালয় থেকে করোনার ভাইরাস নিয়ে পিএইচডি করেছেন,1
13,তিনি ধনী বন্ধুদের বলেছিলেন। তারপরে স্টকটিতে শীতল $ 1.4m আউট করা হয়েছে। তারপরে কোভিড -১৯ ত্রাণ বিলের বিরুদ্ধে আবার ভোট দিয়েছে। তাকে যেতে হবে,1
14,"ভবিষ্যতের নাতি: ""আরে দাদু কর্নো চান?"" আমি: URL",0
15,কোরিয়া 10 মিনিটের কোভিড -19 ডায়াগোনস্টিক কিটটি তৈরি করা শেষ করেছে এবং এখন উত্পাদন বাড়িয়ে তুলছে। তারা প্রতি সপ্তাহে 300.000 টেস্ট-কিট রফতানি করার পরিকল্পনা করছে - URL,1
16,"tw আত্মহত্যা, covid-19 আরে, তাই, ওম, এখন ঘরে একটি বড় হাতি আছে। covid এখনই একমাত্র মহামারী হচ্ছে না - এবং এটি একটি খারাপ, খারাপ সময়ে এসেছিল। কখনও ভাল সময় হয় না। একটি মানসিক স্বাস্থ্য মহামারী দেখা দিচ্ছে, এবং আমরা দেখতে শুরু করব-",1
17,সেলিব্রিটিরা ভাইরাসটিকে দূরে সরিয়ে দেওয়ার চেষ্টা করে চলেছেন এটি একটি ডিজনি চলচ্চিত্র বা কিছু,0
18,আমি যদি কোভিড -১৯ এর অনুভূতি বিকাশ করি তবে এটি চলে যাবে,0
19,"থ্রেড: আমি এখানে প্রায়শই সিনেমা নিয়ে কথা বলি, তবে এখানে চলে। কেবলমাত্র সংক্ষিপ্ত সরবরাহে অস্ত্রোপচারের মুখোশ এবং অন্যান্য মেডিকেল পোশাক তৈরির জন্য আমরা বর্তমানে আমাদের কারখানাটি চালাচ্ছি। আমরা দিনে 2 মিলিয়ন মুখোশ তৈরি করতে পারি এবং এই সময়ের মধ্যে যে কোনও উপায়ে সম্ভব সহায়তা করতে চাইছি।  covid19 URL",1
20,আমার ম্যান হাউস বৃহস্পতিবার 6 ভিকোডিন পপ করবে এবং শনিবার সকালে এই নিরাময় আছে।,0
21,"আমি প্রায় সবকিছু ঠিকঠাক করেছি। ঘরে বসে কাজ করেছেন। গত 10 দিনে এক বন্ধু দেখেছি। একটি বড় টেবিলের দু'পাশে একটি পাবের বাইরে এক ঘন্টার জন্য বিয়ার ছিল। টাটকা বাতাস, যোগাযোগ নেই। আমার হাত 3 বার ধোয়া। তবুও তার কাছ থেকে করোনাকে ধরল। এই জিনিসটি নিয়ে চারপাশে চোদো না।",1
22,আমি বুঝতে পারি না যে এমসিডোনাল্ডস প্রতি বছর কীভাবে দুই বিলিয়ন হ্যামবার্গার পরিবেশন করতে পারে তবে আমি যখন ড্রাইভে পাঁচ মিলিয়ন অর্ডার করি তখন এটি সিস্টেমকে ছাপিয়ে যায়,0
23,ব্রো চীন এখানে নিগাস পাওয়ারের স্তরগুলি পড়ছে এবং আমরা পর্যাপ্ত পরীক্ষাও করতে পারি না,0
24,এই করোনার বিষ্ঠা শেষ হয়ে গেলে আমাকে আমন্ত্রণ জানান। আমি জানি আমি মাঝে মাঝে ঝাপটায় পড়ে যাই তবে আমার পাছা বাইরে আসতে চলেছে আমি প্রতিশ্রুতি দিয়ে থাকি,0
25,"তুমি তোমার প্রাক্তনকে মিস কর, করোনার ভাইরাস ছাড়াই আমি জীবন মিস করি",0
26,"“আমি তাকে থামিয়ে দিয়ে বললাম, দেখুন, এটা কোনও সিনেমা নয়। আই এম লেজেন্ডে আপনি উইল স্মিথ নন। বাড়িতে যেতে."" এটি ইতালীয় মেয়রদের  কোভিড ১৯ কোয়ারেন্টাইন লঙ্ঘনকারী লোকদের কাছে এটি হারাতে আপডেট হওয়া সংকলন। হ্যাঁ, সাবটাইটেলগুলি সঠিক। URL",0
27,"আপনার ডাক্তার এটি নির্ধারণ না করে  covid19 অবধি জন্য হাইড্রোক্সাইক্লোরোকুইন (প্লাকুইনিল) প্লাস অ্যাজিথ্রোমাইসিন গ্রহণ করবেন না take উভয় ওষুধই আপনার হার্টের qt ব্যবধানকে প্রভাবিত করে এবং এরিথমিয়া এবং হঠাৎ মৃত্যুর কারণ হতে পারে, বিশেষত যদি আপনি অন্য মেডিস গ্রহণ করছেন বা হার্টের অবস্থা রয়েছে।",1
28,৫ ম দিন: আমরা কৃষিকাজটি পুনরায় আবিষ্কার করেছি,0
29,এই করোনার ভাইরাস এপ্রিলের মাঝামাঝি পেরিয়ে যাবে !! এটি অস্তিত্ব মধ্যে কথা বলা,1
30,আপনার সমর্থন এবং উত্সাহের অবিশ্বাস্য বার্তাগুলির জন্য সবাইকে ধন্যবাদ you আপনারা অনেকেই জিজ্ঞাসা করেছিলেন এখনই ইআর তে এটি কেমন ছিল। আমি আপনার সাথে কিছুটা ভাগ করতে চাই। দয়া করে আরটি: ইআর ডকের জীবনে একটি দিন -  সিভিডি 19 ফ্রন্টলাইন থেকে একটি সংক্ষিপ্ত প্রেরণ:,0
31,"আমার সহকর্মীরা, আতঙ্কিত হওয়ার দরকার নেই। প্রয়োজনীয় পণ্য, ওষুধ ইত্যাদি পাওয়া যেত। এটি নিশ্চিত করতে কেন্দ্র এবং বিভিন্ন রাজ্য সরকার নিবিড় সমন্বয় করে কাজ করবে। একসাথে, আমরা covid-19 এর সাথে লড়াই করব এবং একটি স্বাস্থ্যকর ভারত তৈরি করব। জয় হিন্দ!",1
32,কুকুরগুলি যখন তাদের মালিকদের জানতে পেরেছিল করোনার ভাইরাসের কারণে ছাড়তে পারে না URL,0
33,না .. এক ... গ্যাস্টনের মতো গ্যাস্টন কোয়ারানটাইনগুলির মত পরিষ্কার,1
34,এ কারণেই ফ্লোরিডায় সৈকত বন্ধ হয়নি এবং কেন তাদের ন্যূনতম covid-19 প্রতিরোধ হয়েছিল। নিখুঁত কর্মহীনতা। URL,1
35,"আমার নতুন প্রিয় জিনিসটি হ'ল ইতালীয় মেয়র এবং আঞ্চলিক রাষ্ট্রপতিরা পৃথকীকরণ লঙ্ঘনকারী লোকদের কাছে এটি হারাচ্ছেন। এখানে একটি ইঞ্জির সাবটাইটেল সংকলন রয়েছে। “আমি শুনেছি আপনি স্নাতক দল নিক্ষেপ করতে চান। আমি পুলিশকে পাঠিয়ে দেব। শিখার সাথে। ""  কোভিড 19  করোনভাইরাস URL",0
36,"covid-19 পরিশেষে, একজন নার্সের কাছ থেকে কিছু বুদ্ধিমান পরামর্শ “আমি যা অনেক কিছু দেখেছি তা হল প্রথম স্থানে করোনভাইরাসটি এড়াতে কীভাবে চেষ্টা করা যায় - তার জন্য ভাল হাত ধোয়া, ব্যক্তিগত স্বাস্থ্যবিধি এবং সামাজিক দূরত্ব - তবে আমার যা আছে অনেক কিছুই দেখা যায় না এর জন্য পরামর্শ ...",0
37,"করোনার ভাইরাস বাস্তব নয়, সরকার কেবল দু'সপ্তাহের জন্য সবাইকে চাই যাতে তারা পাখির ব্যাটারি পরিবর্তন করতে পারে।",1
38,কোয়ারান্টিনের 6 ষ্ঠ দিন: আমার বাবা বিড়ালদের সাথে কোভিড -১ about সম্পর্কে একটি কথা বলেছেন URL,0
39,"এটি জেনারেশন জেড i আমি এটির নাম রাখতে চাই কারণ লোকেরা 40 এবং তারও অধিক সহস্রাব্দের অধীনে কল করা পছন্দ করে। সহস্রাব্দগুলি স্প্রিং ব্রেক এ নেই। সহস্রাব্দের ঘরে বসে তাদের বুমার পিতামাতারা চিৎকার করছেন যারা তাদের ""ভয়ের প্রতি বিশ্বাস"" থাকার কারণে চুপ করে বসে নেই।",1
40,“ওহে ছেলেরা খুশী স্ব-কোয়ারেন্টাইন। করোনার ভাইরাস সত্যই জিনিস is বাহ আমার কোন ধারণা ছিল না! ধন্যবাদ কাইলি! URL,0
